"CONSECUTIVO"	"CEDULA"	"DEPARTAMENTO"	"MONTO"	"SUCURSAL"	"PRODUCTO"	"USUARIO"
2282	23779	260	29442	6	3	179
2283	12540	150	38466	4	18	105
2284	12828	210	1760	3	1	176
2285	27597	150	63641	2	16	187
2286	28846	50	95810	4	11	110
2287	17057	10	63641	5	16	160
2288	13316	10	27825	6	8	151
2289	18128	80	70047	6	7	186
2290	12160	70	27825	4	8	155
2291	20986	90	54620	6	9	201
2292	24247	170	47347	5	2	106
2293	17621	170	85176	2	5	191
2294	27126	190	38466	5	18	133
2295	18496	210	85176	7	5	178
2296	14405	130	9474	6	15	112
2297	25908	70	9474	2	15	193
2298	11565	180	95810	5	11	113
2299	29479	140	70047	6	7	166
2300	24739	150	29442	5	3	106
2301	19945	260	9474	2	15	177
2302	27936	120	54620	4	9	131
2303	12987	50	9474	6	15	159
2304	11527	50	95810	4	11	105
2305	11560	170	70047	1	7	190
2306	25845	130	9474	2	15	203
2307	24552	120	66806	4	14	162
2308	24513	150	70724	1	6	130
2309	27744	180	27825	7	8	100
2310	15641	50	47347	3	2	124
2311	15358	190	89125	7	12	115
2312	25063	220	9474	2	15	158
2313	13650	230	89125	6	12	162
2314	12510	70	1760	6	1	116
2315	19692	30	11869	4	17	200
2316	26641	120	70047	7	7	175
2317	25404	190	1526	6	13	175
2318	12533	160	70047	7	7	102
2319	15503	200	89125	6	12	137
2320	17126	10	85176	1	5	183
2321	28738	100	29442	3	3	154
2322	12597	200	9474	2	15	103
2323	19820	140	1760	4	1	101
2324	26134	100	89125	5	12	128
2325	19926	200	29442	3	3	107
2326	11918	180	85176	2	5	129
2327	14740	10	95810	1	11	191
2328	18075	170	66806	7	14	100
2329	24570	30	1526	5	13	119
2330	18026	30	89125	3	12	126
2331	17443	220	1760	2	1	178
2332	16953	80	1526	7	13	140
2333	22982	110	27825	5	8	201
2334	14652	170	70047	6	7	158
2335	28232	30	95810	6	11	173
2336	22843	200	47347	4	2	191
2337	23847	180	9474	5	15	175
2338	16121	150	90367	5	4	195
2339	21286	260	1526	2	13	151
2340	19242	230	63641	6	16	190
2341	23190	20	70047	1	7	145
2342	23779	20	90367	3	4	204
2343	20993	80	54620	2	9	139
2344	28378	180	11869	2	17	157
2345	29114	170	90367	6	4	110
2346	27537	270	89125	6	12	104
2347	25854	180	1526	7	13	140
2348	15148	260	9474	1	15	178
2349	24180	270	11869	7	17	110
2350	24957	80	29442	5	3	196
2351	12772	120	38466	4	18	159
2352	17320	230	9474	4	15	204
2353	12850	260	29442	6	3	192
2354	27317	110	1760	1	1	122
2355	28908	260	95810	2	11	138
2356	22975	150	73123	7	10	117
2357	21267	270	95810	6	11	178
2358	12113	260	38466	3	18	117
2359	27351	20	29442	4	3	194
2360	27187	260	63641	5	16	143
2361	23981	100	85176	2	5	177
2362	19877	70	47347	1	2	155
2363	23979	110	73123	6	10	120
2364	16170	10	73123	1	10	169
2365	24890	140	9474	2	15	164
2366	11720	10	70047	1	7	141
2367	27087	260	85176	4	5	121
2368	25428	150	1760	3	1	193
2369	28754	190	63641	5	16	206
2370	16878	60	73123	5	10	180
2371	19114	120	9474	2	15	175
2372	24184	220	85176	3	5	190
2373	19135	90	66806	5	14	110
2374	28107	190	73123	7	10	144
2375	24375	230	85176	5	5	123
2376	27719	250	1526	7	13	117
2377	24028	40	1760	6	1	145
2378	24537	140	38466	5	18	180
2379	13214	170	70047	7	7	183
2380	22204	170	9474	5	15	148
2381	16111	50	70724	4	6	204
2382	11605	170	89125	4	12	129
2383	26483	140	70047	3	7	136
2384	19744	190	73123	2	10	155
2385	19579	100	70047	7	7	114
2386	14299	130	54620	7	9	189
2387	17010	40	27825	6	8	106
2388	11345	190	70047	3	7	184
2389	19563	230	47347	7	2	195
2390	24801	200	85176	1	5	163
2391	14732	260	89125	2	12	111
2392	13441	150	63641	5	16	121
2393	22989	140	66806	4	14	146
2394	20957	230	27825	3	8	117
2395	16316	50	9474	2	15	166
2396	22068	120	66806	2	14	150
2397	28475	200	27825	6	8	172
2398	12813	180	47347	6	2	115
2399	12767	70	95810	4	11	167
2400	22057	120	27825	1	8	153
2401	19424	30	9474	7	15	171
2402	29210	270	29442	2	3	108
2403	12615	20	85176	3	5	147
2404	27176	20	29442	7	3	162
2405	20980	30	54620	2	9	172
2406	23626	10	11869	2	17	140
2407	25743	100	70047	3	7	114
2408	18908	90	95810	2	11	156
2409	23711	220	1526	5	13	174
2410	26484	230	66806	2	14	165
2411	15189	240	54620	4	9	186
2412	21868	200	89125	3	12	117
2413	11516	170	89125	7	12	102
2414	12716	90	70047	1	7	111
2415	24421	80	89125	2	12	172
2416	14556	200	1526	6	13	103
2417	29249	170	27825	5	8	118
2418	22010	220	90367	1	4	115
2419	25513	220	47347	1	2	137
2420	22556	100	27825	1	8	107
2421	12073	160	66806	5	14	140
2422	13955	90	73123	2	10	127
2423	27464	160	27825	6	8	162
2424	29405	80	89125	2	12	154
2425	21724	150	63641	6	16	192
2426	15815	90	63641	7	16	189
2427	21174	160	95810	4	11	191
2428	15311	180	70724	2	6	124
2429	15267	20	90367	3	4	203
2430	11853	110	70047	7	7	162
2431	12491	20	85176	3	5	161
2432	25498	140	29442	4	3	152
2433	18875	200	1760	7	1	197
2434	19263	110	27825	3	8	136
2435	21543	40	66806	5	14	200
2436	21395	270	1760	1	1	141
2437	25395	170	95810	1	11	107
2438	18398	10	70047	6	7	125
2439	22167	110	89125	5	12	101
2440	25684	60	90367	4	4	192
2441	25852	250	70047	4	7	157
2442	15914	100	90367	5	4	121
2443	19641	110	38466	6	18	182
2444	15398	90	11869	2	17	179
2445	14718	10	66806	6	14	115
2446	15848	240	29442	4	3	163
2447	26522	30	54620	1	9	164
2448	21448	10	38466	6	18	197
2449	14720	30	27825	3	8	184
2450	26825	180	89125	7	12	132
2451	12691	10	29442	4	3	112
2452	27787	90	1760	2	1	145
2453	20143	190	66806	7	14	141
2454	23767	80	9474	5	15	146
2455	19664	100	63641	3	16	151
2456	23392	140	54620	2	9	125
2457	26970	80	70047	5	7	176
2458	24020	140	47347	1	2	116
2459	22736	20	1526	2	13	198
2460	22779	260	70047	3	7	114
2461	15661	80	70047	5	7	158
2462	19288	120	70724	6	6	157
2463	15570	20	1760	7	1	103
2464	14105	190	70047	7	7	115
2465	28121	10	27825	7	8	103
2466	28689	160	63641	1	16	163
2467	11758	120	90367	3	4	180
2468	23176	20	29442	3	3	130
2469	23296	200	63641	5	16	176
2470	24837	170	11869	3	17	130
2471	22287	210	11869	2	17	132
2472	25206	270	54620	6	9	163
2473	17900	270	29442	3	3	172
2474	22352	40	85176	5	5	133
2475	18957	140	95810	4	11	123
2476	20693	180	89125	5	12	117
2477	13982	200	90367	6	4	148
2478	16783	130	1526	5	13	187
2479	26729	270	85176	1	5	190
2480	11419	120	70724	1	6	196
2481	22255	150	54620	1	9	134
2482	12657	230	47347	5	2	106
2483	24686	130	9474	3	15	138
2484	20448	20	29442	1	3	145
2485	13386	180	63641	3	16	147
2486	11627	230	1760	4	1	182
2487	28784	210	54620	1	9	204
2488	24690	250	66806	7	14	170
2489	19083	180	85176	3	5	158
2490	17655	30	89125	4	12	182
2491	19199	100	85176	7	5	101
2492	14238	30	90367	6	4	183
2493	24434	130	85176	7	5	193
2494	28670	110	66806	5	14	141
2495	14858	40	11869	4	17	104
2496	21498	250	85176	5	5	145
2497	11019	100	70724	6	6	148
2498	18496	110	70724	2	6	100
2499	27646	270	95810	4	11	150
2500	24165	250	70047	7	7	174
2501	27636	110	70724	2	6	115
2502	26527	150	27825	4	8	171
2503	19251	150	66806	3	14	160
2504	24465	240	9474	5	15	194
2505	18261	150	27825	4	8	158
2506	26973	220	38466	5	18	147
2507	20147	210	1526	2	13	142
2508	13179	140	95810	7	11	102
2509	24190	130	70724	2	6	169
2510	18886	40	47347	3	2	147
2511	22970	150	9474	7	15	133
2512	27232	200	54620	5	9	177
2513	26542	150	89125	3	12	145
2514	18393	230	85176	4	5	115
2515	11893	40	29442	4	3	106
2516	20863	240	38466	3	18	127
2517	27729	150	89125	4	12	101
2518	18262	100	90367	7	4	137
2519	21954	10	70724	3	6	177
2520	11647	130	1760	7	1	122
2521	23206	250	73123	1	10	164
2522	16394	130	90367	1	4	105
2523	19500	260	29442	6	3	190
2524	13717	10	89125	5	12	180
2525	14974	220	38466	7	18	150
2526	25881	140	54620	5	9	151
2527	27941	160	66806	2	14	161
2528	11592	220	85176	1	5	144
2529	19446	260	54620	5	9	182
2530	18548	110	73123	3	10	152
2531	22367	70	73123	5	10	117
2532	19990	250	54620	6	9	151
2533	24480	230	63641	6	16	163
2534	25263	50	95810	5	11	178
2535	12492	230	95810	4	11	149
2536	14971	260	63641	5	16	114
2537	16979	20	11869	2	17	181
2538	25947	160	85176	3	5	112
2539	20807	170	11869	2	17	112
2540	21530	200	11869	3	17	191
2541	14324	40	70724	3	6	189
2542	25346	110	27825	5	8	205
2543	12938	60	85176	5	5	161
2544	22178	190	85176	7	5	177
2545	12936	210	66806	3	14	126
2546	25997	170	29442	5	3	175
2547	11645	200	90367	5	4	112
2548	18526	60	1760	5	1	175
2549	26057	60	11869	4	17	105
2550	27149	20	54620	4	9	108
2551	14998	150	11869	4	17	174
2552	22856	60	70047	7	7	164
2553	23788	150	27825	6	8	127
2554	14691	30	27825	5	8	170
2555	19427	80	70724	1	6	161
2556	11608	190	11869	2	17	146
2557	18841	100	63641	7	16	118
2558	23100	150	1760	2	1	181
2559	15014	270	1760	3	1	204
2560	15091	100	63641	2	16	204
2561	21583	180	70724	7	6	132
2562	16977	240	27825	3	8	191
2563	13709	110	73123	5	10	113
2564	12132	110	90367	1	4	147
2565	17900	80	27825	3	8	104
2566	28945	140	66806	4	14	177
2567	20074	200	27825	5	8	117
2568	11496	200	89125	2	12	122
2569	18803	210	63641	3	16	139
2570	16449	60	47347	4	2	199
2571	24589	40	90367	6	4	110
2572	14684	220	90367	6	4	186
2573	25540	160	54620	4	9	199
2574	17775	190	89125	4	12	193
2575	23336	160	70047	3	7	201
2576	18523	70	89125	4	12	194
2577	24678	110	63641	7	16	201
2578	23605	170	66806	5	14	142
2579	26172	100	63641	7	16	130
2580	15042	40	63641	4	16	154
2581	23717	260	85176	1	5	135
2582	21659	260	27825	3	8	191
2583	16863	100	95810	1	11	159
2584	27892	180	27825	5	8	153
2585	28710	20	89125	4	12	175
2586	19899	80	89125	1	12	204
2587	17749	150	47347	4	2	150
2588	20811	270	29442	5	3	119
2589	23892	150	95810	2	11	129
2590	14106	150	85176	7	5	174
2591	15423	40	95810	4	11	176
2592	17028	110	85176	7	5	164
2593	22167	230	70047	2	7	170
2594	13283	190	1760	6	1	205
2595	22323	90	38466	5	18	175
2596	12558	210	47347	1	2	138
2597	23987	260	66806	4	14	147
2598	21866	220	1760	4	1	156
2599	19396	140	95810	1	11	158
2600	21218	60	9474	7	15	198
2601	19512	50	1760	7	1	194
2602	13483	70	95810	4	11	189
2603	14604	190	38466	3	18	172
2604	13423	190	90367	3	4	201
2605	25912	260	47347	4	2	154
2606	14148	240	70724	5	6	156
2607	22909	110	47347	1	2	103
2608	15793	70	47347	3	2	133
2609	23802	170	70724	1	6	152
2610	22633	180	89125	6	12	198
2611	25628	190	1526	3	13	170
2612	16018	200	66806	1	14	169
2613	29237	260	54620	7	9	160
2614	25370	40	27825	3	8	100
2615	23876	40	1760	3	1	150
2616	16494	270	63641	3	16	182
2617	12071	260	9474	1	15	202
2618	17310	100	70724	2	6	171
2619	19012	170	70724	3	6	147
2620	20990	130	29442	3	3	137
2621	26663	140	70724	4	6	200
2622	25844	40	90367	1	4	103
2623	18383	140	70724	3	6	192
2624	28927	110	29442	1	3	165
2625	19232	80	9474	4	15	193
2626	23331	10	90367	5	4	107
2627	12224	180	38466	5	18	117
2628	29338	260	1526	1	13	182
2629	13881	150	63641	2	16	193
2630	13112	110	1760	3	1	135
2631	17907	210	38466	4	18	115
2632	17291	180	73123	5	10	126
2633	23279	150	11869	3	17	196
2634	18959	120	90367	5	4	114
2635	14085	20	9474	5	15	132
2636	22946	100	1526	3	13	146
2637	20348	240	11869	7	17	176
2638	12694	30	54620	2	9	146
2639	21103	100	73123	1	10	138
2640	27925	100	66806	1	14	189
2641	16646	120	54620	3	9	177
2642	22978	220	47347	5	2	131
2643	26072	30	29442	5	3	114
2644	22281	270	27825	2	8	116
2645	20377	150	54620	3	9	156
2646	17364	50	1526	3	13	157
2647	25678	30	85176	6	5	195
2648	28470	250	9474	1	15	144
2649	18231	100	66806	2	14	124
2650	20437	220	70724	2	6	157
2651	14059	70	73123	4	10	102
2652	28339	70	85176	3	5	180
2653	12478	250	27825	3	8	162
2654	12141	80	70724	6	6	192
2655	15959	60	1526	1	13	163
2656	23268	100	38466	6	18	116
2657	25279	240	95810	2	11	126
2658	19880	80	70047	4	7	149
2659	26580	160	90367	6	4	108
2660	11644	40	63641	3	16	204
2661	17470	190	70724	4	6	165
2662	14324	10	90367	2	4	187
2663	24030	200	27825	7	8	122
2664	29474	100	29442	3	3	161
2665	13925	220	95810	1	11	136
2666	19008	30	70047	7	7	129
2667	17207	80	66806	2	14	168
2668	18545	240	90367	1	4	187
2669	24149	220	27825	6	8	163
2670	12971	180	38466	1	18	105
2671	28733	20	63641	3	16	108
2672	20150	240	85176	3	5	191
2673	17784	60	66806	6	14	108
2674	26887	120	89125	2	12	170
2675	29154	60	9474	7	15	155
2676	15774	220	73123	5	10	166
2677	26515	130	73123	6	10	161
2678	23981	100	29442	2	3	191
2679	20995	50	54620	3	9	182
2680	12957	60	66806	3	14	159
2681	17545	50	38466	7	18	198
2682	18922	260	85176	5	5	121
2683	12530	120	38466	6	18	192
2684	15902	140	70047	1	7	121
2685	11886	230	73123	2	10	146
2686	29034	110	89125	5	12	102
2687	15486	70	85176	1	5	132
2688	12523	270	66806	1	14	109
2689	26945	260	1760	7	1	183
2690	22991	260	47347	5	2	198
2691	14640	180	11869	4	17	204
2692	27097	250	27825	3	8	155
2693	28833	120	11869	6	17	204
2694	15648	110	38466	3	18	181
2695	17647	260	47347	2	2	114
2696	16866	120	47347	6	2	196
2697	14047	230	27825	2	8	198
2698	16245	220	54620	6	9	118
2699	12471	130	54620	2	9	159
2700	26772	40	63641	1	16	149
2701	14642	20	70724	5	6	117
2702	26801	100	95810	6	11	178
2703	15377	210	70047	4	7	127
2704	15481	260	9474	2	15	197
2705	15260	90	70724	2	6	153
2706	16690	150	1760	6	1	129
2707	11343	10	27825	4	8	104
2708	17485	80	70724	5	6	192
2709	17429	60	89125	5	12	151
2710	18703	150	1760	1	1	150
2711	25788	100	54620	6	9	132
2712	22372	30	90367	3	4	120
2713	26107	40	27825	1	8	163
2714	13779	220	66806	3	14	110
2715	15914	40	38466	3	18	173
2716	24151	90	9474	4	15	110
2717	18511	110	1760	3	1	146
2718	27313	240	85176	2	5	179
2719	27349	240	54620	3	9	201
2720	17201	200	73123	5	10	118
2721	27049	90	1526	6	13	206
2722	28697	100	29442	6	3	130
2723	26711	190	95810	4	11	203
2724	19478	240	27825	3	8	115
2725	11445	80	27825	6	8	194
2726	24623	270	89125	6	12	137
2727	28879	190	85176	5	5	152
2728	28413	270	27825	6	8	157
2729	24807	130	47347	4	2	190
2730	11285	110	70724	2	6	123
2731	17280	260	11869	5	17	124
2732	16733	40	89125	6	12	155
2733	26662	80	47347	7	2	131
2734	26006	270	38466	7	18	173
2735	19906	150	95810	6	11	180
2736	14681	100	1760	3	1	198
2737	14060	70	85176	7	5	156
2738	19126	190	66806	5	14	127
2739	15459	230	95810	1	11	197
2740	26180	210	27825	2	8	163
2741	17576	90	66806	5	14	126
2742	12143	10	66806	5	14	165
2743	29245	90	66806	1	14	131
2744	27758	230	1526	5	13	179
2745	27170	170	63641	1	16	184
2746	13695	150	29442	1	3	188
2747	11308	100	54620	1	9	135
2748	24856	30	70724	7	6	192
2749	11392	90	63641	4	16	127
2750	28067	110	66806	6	14	184
2751	25397	240	66806	1	14	138
2752	20817	140	9474	4	15	174
2753	15215	80	89125	2	12	132
2754	15263	50	85176	3	5	141
2755	21885	160	38466	2	18	157
2756	12592	140	27825	6	8	161
2757	24175	270	70047	4	7	174
2758	12843	230	89125	7	12	134
2759	23884	130	89125	7	12	198
2760	11723	150	70047	4	7	109
2761	24283	120	89125	7	12	183
2762	11347	40	85176	4	5	192
2763	29095	250	90367	5	4	113
2764	27553	10	95810	6	11	195
2765	24844	50	11869	1	17	116
2766	12189	230	1760	1	1	177
2767	24423	270	38466	3	18	128
2768	19666	250	38466	5	18	127
2769	18853	60	27825	3	8	192
2770	15633	60	70724	3	6	130
2771	11950	200	47347	1	2	141
2772	16039	80	9474	1	15	200
2773	22723	170	73123	1	10	181
2774	11602	190	1760	3	1	176
2775	11290	220	11869	7	17	186
2776	18914	140	1526	3	13	192
2777	14267	40	70724	5	6	135
2778	12229	10	1760	5	1	182
2779	20816	260	1760	5	1	150
2780	22791	180	70724	6	6	127
2781	11570	30	38466	6	18	203
2782	27662	180	47347	3	2	109
2783	14046	250	85176	7	5	196
2784	20610	140	85176	2	5	183
2785	27720	260	27825	6	8	109
2786	25707	120	54620	4	9	194
2787	28646	20	70047	7	7	159
2788	16059	240	89125	1	12	102
2789	14169	260	27825	2	8	168
2790	11159	260	1526	4	13	193
2791	11855	60	47347	7	2	120
2792	24136	150	66806	4	14	200
2793	15041	220	70047	2	7	108
2794	24851	70	1526	7	13	157
2795	24654	190	27825	6	8	127
2796	14114	90	47347	5	2	184
2797	22209	90	89125	5	12	123
2798	17957	30	11869	1	17	183
2799	26365	230	89125	3	12	180
2800	24045	70	9474	6	15	128
2801	13184	150	27825	7	8	190
2802	16635	210	54620	7	9	122
2803	12228	100	73123	7	10	166
2804	20457	270	9474	3	15	126
2805	29367	240	63641	1	16	170
2806	23743	170	27825	7	8	115
2807	16450	220	70724	6	6	170
2808	24036	270	11869	4	17	125
2809	18374	90	85176	2	5	179
2810	15056	10	1760	5	1	164
2811	14174	250	90367	5	4	144
2812	15195	110	11869	2	17	124
2813	13903	80	70047	2	7	141
2814	29277	180	70047	1	7	106
2815	16884	170	70047	7	7	116
2816	19389	70	63641	3	16	184
2817	14161	90	11869	6	17	147
2818	11115	30	38466	6	18	180
2819	15884	10	63641	7	16	172
2820	13076	30	9474	5	15	148
2821	20151	170	27825	6	8	176
2822	14649	190	66806	7	14	117
2823	21200	120	38466	6	18	165
2824	16472	40	1526	4	13	138
2825	20759	170	47347	4	2	170
2826	27285	260	73123	7	10	200
2827	14702	80	54620	1	9	186
2828	20073	200	70047	5	7	112
2829	17716	80	29442	6	3	154
2830	14395	120	9474	6	15	157
2831	20513	190	38466	2	18	191
2832	22491	70	27825	5	8	173
2833	25668	150	73123	3	10	180
2834	27172	60	70724	6	6	168
2835	18389	10	47347	1	2	143
2836	25852	10	27825	5	8	205
2837	18205	250	90367	4	4	110
2838	21100	170	89125	1	12	193
2839	19406	180	38466	6	18	146
2840	26640	160	1526	2	13	108
2841	13909	270	47347	6	2	145
2842	14573	140	38466	4	18	136
2843	22842	240	85176	4	5	121
2844	16819	30	70047	5	7	131
2845	13240	120	66806	2	14	140
2846	25000	260	89125	2	12	163
2847	21184	210	9474	7	15	138
2848	15324	90	1760	3	1	173
2849	20302	260	1760	1	1	157
2850	27798	90	1526	6	13	176
2851	13870	40	38466	7	18	122
2852	21416	220	95810	6	11	128
2853	15715	190	90367	7	4	189
2854	19561	120	1526	5	13	183
2855	19669	20	1526	1	13	179
2856	18176	20	63641	7	16	199
2857	25924	30	70724	3	6	191
2858	20336	160	70724	6	6	178
2859	21471	50	90367	5	4	181
2860	19408	50	27825	1	8	106
2861	11126	230	66806	1	14	113
2862	16169	120	38466	2	18	149
2863	19983	120	63641	1	16	188
2864	23757	220	1760	1	1	206
2865	26178	110	54620	4	9	163
2866	18223	170	63641	7	16	156
2867	15774	40	54620	5	9	126
2868	21114	230	70724	7	6	176
2869	11405	140	63641	6	16	167
2870	21807	250	95810	1	11	174
2871	27077	150	47347	3	2	188
2872	25000	230	38466	1	18	203
2873	24617	130	1526	5	13	191
2874	20868	200	73123	5	10	118
2875	16559	40	38466	2	18	193
2876	27265	70	70047	6	7	201
2877	25437	30	89125	4	12	130
2878	25778	190	1526	1	13	128
2879	27452	70	47347	5	2	159
2880	15424	10	85176	2	5	198
2881	21827	70	54620	1	9	161
2882	11955	60	38466	1	18	192
2883	26180	30	27825	7	8	119
2884	16926	150	9474	6	15	202
2885	20446	90	9474	1	15	183
2886	13723	230	70724	7	6	125
2887	26010	260	70724	7	6	190
2888	29072	20	1526	1	13	116
2889	22256	140	38466	7	18	153
2890	13529	30	9474	3	15	175
2891	13834	220	90367	5	4	147
2892	13292	170	54620	5	9	102
2893	28542	70	29442	3	3	114
2894	15156	20	63641	2	16	173
2895	12816	40	1526	3	13	206
2896	18468	270	90367	3	4	137
2897	17647	170	38466	6	18	180
2898	12009	200	47347	7	2	174
2899	14891	20	70047	1	7	143
2900	15165	30	27825	6	8	189
2901	29323	240	27825	6	8	133
2902	29166	210	54620	5	9	124
2903	18201	120	70724	6	6	178
2904	23957	100	11869	4	17	203
2905	26145	200	70047	6	7	109
2906	13324	70	27825	2	8	138
2907	25067	150	1760	1	1	114
2908	11188	120	54620	2	9	204
2909	15886	220	1526	5	13	145
2910	14937	260	73123	2	10	163
2911	11827	140	66806	5	14	167
2912	16366	70	85176	7	5	129
2913	20204	200	70724	3	6	187
2914	14980	100	11869	5	17	203
2915	24924	250	1760	4	1	129
